program,year,happy,professor,work_setting,work_outfit,analyze,gather_information,prefer,goals,develop,field_interest,team_responsible,start_work,design_something,work_partof,on_project,care_most,eavesdrop,working_with,leader,gender
Chemical Engineering,2,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Blue prints and design drawings,By talking to the people who use the system,Listen,One year from now,Life Science,Research,Penicillin,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,Yes,Female
Chemical Engineering,2,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a manufacturing facility,Business Casual,Test results,By analyzing the design and implementation of the system,Talk,Five years from now,Technology,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Bringing Technology to developing countries,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Female
Chemical Engineering,2,Yes,"Elon Musk, Founder of Tesla",In a manufacturing facility,Protective Clothing,Test results,By analyzing the inputs and outputs of the system,Listen,One year from now,Technology,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery,Yes,Female
Chemical Engineering,1,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Test results,By analyzing the internal components of the system,Talk,One year from now,Technology,Research,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Machinery,Yes,Male
Chemical Engineering,3,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Test results,By analyzing the inputs and outputs of the system,Read,Five years from now,Life Science,Research,Penicillin,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Female
Chemical Engineering,1,Yes,"Elon Musk, Founder of Tesla",In a manufacturing facility,Business Casual,Test results,By analyzing the inputs and outputs of the system,Read,One year from now,Math,Manufacturing,The Automobile,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Male
Chemical Engineering,1,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Test results,By analyzing the inputs and outputs of the system,Listen,One year from now,Math,Manufacturing,Solar Panels,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,Yes,Female
Chemical Engineering,2,Yes,"David Suzuki, Environmental Activist",In a manufacturing facility,Extremely Casual,Test results,By talking to the people who use the system,Talk,One year from now,Technology,Manufacturing,The Internet,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Female
Chemical Engineering,2,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a manufacturing facility,Business Casual,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Five years from now,Technology,Manufacturing,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Female
Chemical Engineering,3,Yes,"Elon Musk, Founder of Tesla",In a manufacturing facility,Extremely Casual,Test results,By talking to the people who use the system,Listen,One year from now,Life Science,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Male
Chemical Engineering,1,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Graphs and charts,By analyzing the inputs and outputs of the system,Talk,Five years from now,Physics,Research,The Internet,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Female
Chemical Engineering,1,Yes,"David Suzuki, Environmental Activist",In a laboratory,Business Casual,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Listen,Five years from now,Math,Research,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Female
Chemical Engineering,3,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Five years from now,Life Science,Research,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Male
Chemical Engineering,3,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a manufacturing facility,Extremely Casual,Blue prints and design drawings,By talking to the people who use the system,Talk,One year from now,Technology,Manufacturing,Penicillin,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Human Rights,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Female
Chemical Engineering,1,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Test results,By analyzing the internal components of the system,Talk,A week from now,Life Science,Research,Solar Panels,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,People,Yes,Female
Chemical Engineering,Alumni,Yes,"Warren Buffett, Billionaire American Business Men",In the outdoors,Protective Clothing,Blue prints and design drawings,By talking to the people who use the system,Listen,Five years from now,Technology,Construction,The CN Tower,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",People,Yes,Male
Chemical Engineering,Alumni,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a manufacturing facility,Extremely Casual,Test results,By analyzing the internal components of the system,Read,One year from now,Technology,Manufacturing,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Environment,A factory that is able to 100% rely on robotics while producing no defected products,People,Yes,Female
